	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON (is-a)	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id
CLYH:1000125	striated muscle of the velum	striated muscle cell	velum	medusa bud	4-bulb medusa stage		striated muscle of the velum						
CLYH:1000126	subumbrella striated muscle	striated muscle cell	subumbrella	medusa bud	4-bulb medusa stage		striated muscle of the subumbrella						
CLYH:1000127	polyp colony	multicellular organism		planula larva	colony phase	medusa phase	connected system of gastrozoid and gonozoid polyps, propagating vegetatively 						
CLYH:1000128	stolon		polyp colony	polyp colony	colony phase	medusa phase	tubular structure  comprising endoderm and ectodermal layers adhering to the substrate , connecting the bases of the polyps						
CLYH:1000129	stolon growth tip		stolon	polyp colony	colony phase	medusa phase	growing tip of a stolon						
CLYH:1000130	stolon mesoglea	mesoglea	stolon	polyp colony	colony phase	medusa phase	mesoglea layer between the endoderm and ectoderm layers of the stolon						
CLYH:1000131	stolon body		stolon	polyp colony	colony phase	medusa phase	segments of the stolon between the bases of the polyps, excluding the growing tip						
CLYH:1000132	stolon ectoderm	ectoderm	stolon	polyp colony	colony phase	medusa phase	ectodermal layer within the stolon						
CLYH:1000133	stolon endoderm	endoderm	stolon	polyp colony	colony phase	medusa phase	endodermal layer within the stolon						
CLYH:1000134	gonozoid		polyp colony	stolon	colony phase	medusa phase	polyp specialised for production of medusa by budding						
CLYH:1000135	gonozoid cap		gonozoid	polyp colony	colony phase	medusa phase	structure that closes the distal end of the gonozoid						
CLYH:1000136	gonozoid central tube		gonozoid	polyp colony	colony phase	medusa phase	tubular structure comprising endoderm and ectodermal layers at the centre of the gonozoid						
CLYH:1000137	gonozoid ectoderm	ectoderm	gonozoid	polyp colony	colony phase	medusa phase	ectodermal layer of the gonozoid including central tube and developing buds						
CLYH:1000138	gonozoid endoderm	endoderm	gonozoid	polyp colony	colony phase	medusa phase	endodermal layer of the gonozoid including central tube and developing buds						
CLYH:1000139	epithelium covering buds	ectoderm	gonozoid	polyp colony	colony phase	medusa phase	epithelial cell layer positioned between the developing medusa buds and the theca f the gonozoid						
CLYH:1000140	medusa bud		gonozoid	polyp colony	colony phase	medusa phase	outgrowth of the gonozoid central tube, within which medusa structures develop						
CLYH:1000141	early medusa bud	medusa bud	gonozoid	polyp colony	colony phase	medusa phase	outgrowth of the gonozoid central tube, comprising  endoderm layer, ectoderm layers and entocodon 						
CLYH:1000142	mid medusa bud	medusa bud	gonozoid	polyp colony	colony phase	medusa phase	bud  on the side of the gonozoid central tube, in which all medusa structures are present but not yet expanded to final proportions						
CLYH:1000143	late medusa bud	medusa bud	gonozoid	polyp colony	colony phase	medusa phase	bud on the side of the gonozoid central tube, containing medusa structures with same proportions as newlyreleased medusa						
CLYH:1000144	entocodon		medusa bud	polyp colony	colony phase	medusa phase	group of cells between the endoderm and ectodderm of the early medusa bud						
CLYH:1000145	developing manubrium	manubrium	medusa bud	polyp colony	colony phase	medusa phase	developing manubrium  within the medusa bud						
CLYH:1000146	developing tentacle bulbs	medusa tentacle system	medusa bud	polyp colony	colony phase	medusa phase	developing tentacle bud within the medusa bud						
CLYH:1000147	developing radial canal	radial canal	medusa bud	polyp colony	colony phase	medusa phase	developing radial canal within the medusa bud						
CLYH:1000148	developing striated muscle	striated muscle cell	medusa bud	polyp colony	colony phase	medusa phase	developing striated muscle within the medusa bud						
CLYH:1000149	developing circular canal	circular canal	medusa bud	polyp colony	colony phase	medusa phase	developing circular canal  within the medusa bud						
CLYH:1000150	gastrozoid		polyp colony	stolon	colony phase	medusa phase	polyp specialised for catching prey and digesting	hydranth					
CLYH:1000151	gastrozoid tentacle	tentacle	gastrozoid		colony phase	medusa phase	tentacle surrounding the polyp mouth						
CLYH:1000152	gastrozoid mouth	mouth	gastrozoid				mouth of the gastrozoid						
CLYH:1000153	matrix	anatomical structure							UBERON:0000061				
CLYH:1000154	theca	matrix	polyp colony		colony phase	medusa phase	chitinous acellular layer surronding and protecting the polyps						
CLYH:1000155	gonotheca	theca	gonozoid		colony phase	medusa phase	theca of the gonozoid						
CLYH:1000156	stolon perisarc	theca	stolon		colony phase	medusa phase	chitinous acellular layer surronding the stolon						
CLYH:1000157	hydrotheca	theca	gastrozoid		colony phase	medusa phase	theca of the hydrozoid						
CLYH:1000158	mesoglea	matrix					jelly-like layer between epithelial layer. The mesoglea is mostly acellular and composed of extracellular matrix						
CLYH:1000159	gonozoid mesoglea	mesoglea	gonozoid	polyp colony	colony phase	medusa phase	mesoglea layer between the endoderm and ectoderm layers of the gonozoid central tube						
CLYH:1000160	medusa	multicellular organism		medusa bud	4-bulb medusa stage		swimming pelagic stage of the C. hemisphaerica life cycle						
CLYH:1000161	umbrella		medusa	medusa bud	4-bulb medusa stage		dome-shaped part of the medusa stage						
CLYH:1000162	exumbrella		umbrella	medusa bud	4-bulb medusa stage		outlayer of the umbrella						
CLYH:1000163	subumbrella		umbrella	medusa bud	4-bulb medusa stage		inner layer of the umbrella						
CLYH:1000164	subumbrella endodermal plate	endoderm	subumbrella	medusa bud	4-bulb medusa stage		endodermal plate of the subumbrella						
CLYH:1000165	thick mesoglea layer of the umbrella	mesoglea	medusa	medusa bud	4-bulb medusa stage		thick mesoglea layer of the umbrella forming the bulk of the umbrella						
CLYH:1000166	bell margin		umbrella	medusa bud	4-bulb medusa stage		outer border of the umbrella						
CLYH:1000167	statocyst		bell margin	medusa bud	4-bulb medusa stage				UBERON:0006583				
CLYH:1000168	medusa tentacle system	tentacle system	bell margin	medusa bud	4-bulb medusa stage		medusa tentacle system comprising tentacles, tentacle bulbs and tentacle buds						denker et al. 2008
CLYH:1000169	medusa tentacle bud		medusa tentacle system	medusa bud	4-bulb medusa stage		initial stage of tentacle bulb formation						
CLYH:1000170	medusa tentacle bulb		medusa tentacle system	medusa bud	4-bulb medusa stage		swollen structure producing the tentacle and connecting the bell margin to the tentacle						
CLYH:1000171	nematogenic ectoderm of the bulb	ectoderm	medusa tentacle bulb	medusa bud	4-bulb medusa stage		cresent-shaped nematogenic ectodermal area of the tentacle bulb, located on the oral side of the bulb						
CLYH:1000172	non-nematogenic ectoderm of the bulb	ectoderm	medusa tentacle bulb	medusa bud	4-bulb medusa stage		V-shaped non-nematogenic ectodermal area of the tentacle bulb, located on the aboral side of the bulb						
CLYH:1000173	tentacle bulb endoderm	endoderm	medusa tentacle bulb	medusa bud	4-bulb medusa stage		endodermal latyer of the medusa tentacle bulb						
CLYH:1000174	medusa tentacle		medusa tentacle system	medusa bud	4-bulb medusa stage		tentacle of the medusa not including the tentacle bulb						
CLYH:1000175	primary medusa tentacle	medusa tentacle	medusa tentacle system	medusa bud	4-bulb medusa stage		four first medusa tentacles of the newly hatched medusa, connected to both radial and circular canals 						
CLYH:1000176	secondary medusa tentacle	medusa tentacle	medusa tentacle system	medusa	8-bulb medusa stage		medusa tentacle generated after medusa hatching and connected to the circular but not to the radial canal						
CLYH:1000177	medusa tentacle ectoderm	ectoderm	medusa tentacle	medusa bud	4-bulb medusa stage		ectoderm of the medusa tentacle						
CLYH:1000178	medusa tentacle endoderm 	endoderm	medusa tentacle	medusa bud	4-bulb medusa stage		endoderm of the medusa tentacle						
CLYH:1000179	velum		bell margin	medusa bud	4-bulb medusa stage		A muscular flap of tissue surrounding the margin of the bell						
CLYH:1000180	inner layer of the velum		velum	medusa bud	4-bulb medusa stage		inner layer of the velum						
CLYH:1000181	outerlater of the velum		velum	medusa bud	4-bulb medusa stage		outerlater of the velum						
CLYH:1000182	radial canal		medusa	medusa bud	4-bulb medusa stage		endodermal canal connecting the manubrium with the bell margin						
CLYH:1000183	circular canal		bell margin	medusa bud	4-bulb medusa stage		endodermal canoal running along the bell margin						
CLYH:1000184	nerve ring		bell margin	medusa bud	4-bulb medusa stage		concentration of nerve cell bodies and projections running around the margin of the bell						
CLYH:1000185	inner nerve ring		nerve ring	medusa bud	4-bulb medusa stage		nerve ring located closest to the centre of the medusa						
CLYH:1000186	outer nerve ring		nerve ring	medusa bud	4-bulb medusa stage		nerve ring located farest to the centre of the medusa						
CLYH:1000187	manubrium		medusa	medusa bud	4-bulb medusa stage		central structure of the medusa bearing the mouth and performing extracellular digestion						
CLYH:1000188	medusa mouth	mouth	manubrium	medusa bud	4-bulb medusa stage		medusa mouth as part of the manubrium						
CLYH:1000189	manubrium roof	endoderm	manubrium	medusa bud	4-bulb medusa stage		endoderm layer of the manubrium opposite to the mouth and in direct contact with the thick mesoglea layer of the medusa						
CLYH:1000190	manubrium ectoderm	ectoderm	manubrium	medusa bud	4-bulb medusa stage		ectoderm of the manubrium						
CLYH:1000191	manubrium endoderm	endoderm	manubrium	medusa bud	4-bulb medusa stage		endoderm of the manubrium						
CLYH:1000192	gonad		medusa	medusa bud	4-bulb medusa stage				UBERON:0000991				
CLYH:1000193	gonad ectoderm	ectoderm	gonad	medusa	4-bulb medusa stage		Ectodermal layer of the gonad						
CLYH:1000194	gonad endoderm	endoderm	gonad	medusa	4-bulb medusa stage		Ectodermal layer of the gonad						
